"Bruce Wayne","Then I reminded myself that all intelligent children suffer bad dreams."
"Bruce Wayne","All men have limits. They learn what they are and learn not to exceed them. I ignore mine."
"Bruce Wayne","Our greatest glory is not in ever falling, but in rising every time we fall."
"Bruce Wayne","A hero can be anyone, even a man doing something as simple as reassuring putting a coat on a young boy’s shoulders."
"Bruce Wayne","Everything’s impossible until somebody does it."
"Bruce Wayne","If you kill a killer, the number of killers in the room remains the same."
"Bruce Wayne","There is a difference between you and me. We both looked into the abyss, but when it looked back at us… you blinked."
"Bruce Wayne","Bats frighten me. It’s time my enemies shared my dread."
"Bruce Wayne","Without warning, it comes…crashing through the window of your study, and mine…I have seen it before…somewhere. It frightened me as a boy… frightened me. Yes, father. I shall become a bat."
"Bruce Wayne","I wear a mask. And that mask, it’s not to hide who I am, but to create what I am."
"Bruce Wayne","Criminals are like weeds, Alfred; pull one up, another grows in its place."
"Bruce Wayne","I have one power. I never give up."
"Bruce Wayne","Sometimes people deserve to have their faith rewarded."
"Bruce Wayne","But as a symbol, as a symbol, I can be incorruptible. I can be everlasting."
"Bruce Wayne","We can rebuild. We can do better."
"Bruce Wayne","I’ve worked so hard to gain their respect, they sometimes forget I’m flesh and blood."
"Bruce Wayne","Laugh and the world laughs with you!"
"Bruce Wayne","Why do we fall? So that we can learn to pick ourselves up."
"Bruce Wayne","This city just showed you that it’s full of people ready to believe in good."
"Bruce Wayne","Tell me where the trigger is, then you have my permission to die."
"Bruce Wayne","If you wanna make the world a better place, take a look at yourself, and make that change."
"Bruce Wayne","I respect the mind’s power over the body. It’s why I do what I do."
"Bruce Wayne","They may be drinkers, Robin, but they’re still human beings."
"Bruce Wayne","If you need to stop an asteroid, you call Superman. If you need to solve a mystery, you call Batman. But if you need to end a war, you call Wonder Woman."
"Bruce Wayne","I’m whatever Gotham needs me to be."
"Bruce Wayne","You finally learned to do what is necessary."
"Bruce Wayne","You cannot lead these men unless you are prepared to do what is necessary to defeat evil."
"Bruce Wayne","People need dramatic examples to shake them out of apathy."
"Bruce Wayne","I knew Harvey Dent, I was his friend and it will be a very long time before someone…Inspires us the way he did."
"Bruce Wayne","I won’t kill you, but I don’t I have to save you."
"Bruce Wayne","There’s nothing to fear, but fear itself!"
"Bruce Wayne","I am vengeance, I am the night, I am Batman."
"Bruce Wayne","It’s not who I am underneath, but what I do that defines me."
"Bruce Wayne","If you can carry it to the top of the mountain you may find what you were looking for in the first place."
"Henri Ducard","Your anger gives you great power. But if you let it, it will destroy you… As it almost did me."
"Bruce Wayne","You don’t get heaven or hell. Do you know the only reward you get for being Batman? You get to be Batman."
"Bruce Wayne","You are as precious to me as you were to your own mother and father. I swore to them that I would protect you, and I haven’t."
"Bruce Wayne","It’s not who we are but what we do that defines us."
"Bruce Wayne","I saved the world again today. It was off the chain."
"Bruce Wayne","Ladies. Gentlemen. You have eaten well. You’ve eaten Gotham’s wealth. Its spirit. Your feast is nearly over. From this moment on…none of you are safe."
"Bruce Wayne","Sometimes it’s only madness that makes us what we are."
"Bruce Wayne","Sometimes the truth isn’t good enough, sometimes people need more."
"Bruce Wayne","It is the duty of every good citizen of Gotham City to report meeting a man from Mars in a public park."
"Bruce Wayne","I don’t blend in at a family picnic."
"Bruce Wayne","Criminals, by nature, are a cowardly and superstitious lot."
"Bruce Wayne","Fear is a tool. When that light hits the sky, it’s not just a call. It’s a warning."
"Bruce Wayne","No miracles…No mercy…No redemption…No heaven…No hell…No higher power. Just life. Just… us."
"Bruce Wayne","I’m Batman."
"Bruce Wayne","I want…My phone call…I want it. I want it. I want my phone call."
"Bruce Wayne","What I do defines me."
"Bruce Wayne","In my attempts to see clearly in the deepest dark, in my efforts to go to the still eye in the storm of madness, did I open myself to some pure source of evil? Did I actually invite it to look out on the world through my eyes?"
"Bruce Wayne","I am not Batman because I like being Batman. I am Batman because I’m Batman."
"Bruce Wayne","I won’t kill you, but that doesn’t mean I have to save you."
"Bruce Wayne","You either die a hero, or live long enough to see yourself become the villain."
"Bruce Wayne","A gun is a liar's tool, a coward's weapon. I don't use guns because I'm Batman."
"Bruce Wayne","Because he’s the hero Gotham deserves, but not the one it needs right now. So we’ll hunt him. Because he can take it. Because he’s not our hero. He’s a silent guardian. A watchful protector. A Dark Knight."
